pool,pool_name,size_usd,range_pct,hold_hours,median_tick,tick_lower,tick_upper,L_position,median_L_event,L_position_over_median_L_event,events_total,events_in_range,in_range_pct,total_volume_usd,total_pool_fee_usd,fee_usd_r4c,fee_usd_r4b,fee_usd_r4_old,fee_ratio_r4c_vs_r4b,fee_ratio_r4c_vs_r4_old,median_share_r4c_pct,max_share_r4c_pct,median_share_r4b_pct,proxy_fee_usd,capture_ratio_r4c,capture_ratio_r4b,capture_ratio_r4_old,il_estimate_usd,gas_usd,net_pnl_r4c_usd,net_pnl_r4b_usd,net_pnl_r4_old_usd,signal_noise_r4c,signal_noise_r4b,apr_pct,daily_fee_gt_position_size_flag,apr_gt_1000pct_flag,any_share_gt_5pct_flag,recommendation
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,10,1,-202113,-203067,-201159,2626625650433,139571851221531052,0.000019,170,170,1.000000,45949.782564,22.974891,0.000430,0.080576,0.080860,0.005333,0.005314,0.000019,0.000019,0.003507,0.000927,0.463348,86.887761,87.193562,0.008333,0.079500,-0.087404,-0.007257,-0.006973,-1.896874,17.338331,37.640910,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,10,6,-202104,-203058,-201150,2625443993865,138597138628001363,0.000019,981,981,1.000000,288545.157142,144.272579,0.002789,0.505986,0.507766,0.005512,0.005493,0.000019,0.000021,0.003507,0.005564,0.501250,90.936385,91.256435,0.050000,0.079500,-0.126711,0.376486,0.378266,-1.888438,18.239421,40.720014,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,10,24,-202193,-203147,-201239,2637152666690,137739741667214106,0.000019,6819,6819,1.000000,2752167.376228,1376.083688,0.022039,4.826131,4.843117,0.004567,0.004551,0.000019,0.000026,0.003507,0.022257,0.990234,216.839674,217.602840,0.200000,0.079500,-0.257461,4.546631,4.563617,-1.779607,46.261314,80.443557,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,15,1,-202113,-203511,-200715,1812226918646,139571851221531052,0.000013,170,170,1.000000,45949.782564,22.974891,0.000296,0.038377,0.038441,0.007725,0.007712,0.000013,0.000013,0.001670,0.000927,0.319686,41.382540,41.451780,0.003704,0.079500,-0.082907,-0.044827,-0.044763,-1.839909,18.723354,25.970304,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,15,6,-202104,-203502,-200706,1811411640747,138597138628001363,0.000013,981,981,1.000000,288545.157142,144.272579,0.001924,0.240989,0.241392,0.007985,0.007972,0.000013,0.000014,0.001670,0.005564,0.345837,43.310801,43.383268,0.022222,0.079500,-0.099798,0.139266,0.139670,-1.826813,19.688980,28.094734,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,10,15,24,-202193,-203591,-200795,1819489979612,137739741667214106,0.000013,6819,6819,1.000000,2752167.376228,1376.083688,0.015206,2.298570,2.302416,0.006615,0.006604,0.000013,0.000018,0.001670,0.022257,0.683211,103.275494,103.448291,0.088889,0.079500,-0.153183,2.130181,2.134027,-1.657865,49.717818,55.501931,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,5,1,-202113,-202601,-201625,12689305703116,139571851221531052,0.000091,170,170,1.000000,45949.782564,22.974891,0.002076,0.729838,0.753783,0.002844,0.002754,0.000091,0.000091,0.031767,0.002318,0.895314,314.801924,325.130263,0.083333,0.079500,-0.160758,0.567005,0.590950,-1.950183,15.516115,72.732525,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,5,6,-202104,-202592,-201616,12683597085511,138597138628001363,0.000092,981,981,1.000000,288545.157142,144.272579,0.013473,4.583074,4.733440,0.002940,0.002846,0.000092,0.000100,0.031767,0.013910,0.968550,329.470441,340.280039,0.500000,0.079500,-0.566027,4.003574,4.153940,-1.946108,16.332296,78.681997,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,5,24,-202193,-202681,-201705,12740162027999,137739741667214106,0.000092,6819,6819,1.000000,2752167.376228,1376.083688,0.106465,43.713736,45.147940,0.002436,0.002358,0.000092,0.000124,0.031767,0.055642,1.913408,785.629022,811.404731,2.000000,0.079500,-1.973035,41.634236,43.068440,-1.893535,41.713736,155.439303,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,10,1,-202113,-203067,-201159,6566564126083,139571851221531052,0.000047,170,170,1.000000,45949.782564,22.974891,0.001074,0.200387,0.202150,0.005361,0.005314,0.000047,0.000047,0.008722,0.002318,0.463335,86.433060,87.193562,0.020833,0.079500,-0.099259,0.100053,0.101817,-1.896877,17.237130,37.639854,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,10,6,-202104,-203058,-201150,6563609984663,138597138628001363,0.000047,981,981,1.000000,288545.157142,144.272579,0.006972,1.258344,1.269416,0.005541,0.005493,0.000047,0.000052,0.008722,0.013910,0.501236,90.460497,91.256435,0.125000,0.079500,-0.197528,1.053844,1.064916,-1.888442,18.133504,40.718831,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,10,24,-202193,-203147,-201239,6592881666725,137739741667214106,0.000048,6819,6819,1.000000,2752167.376228,1376.083688,0.055097,12.002188,12.107792,0.004591,0.004551,0.000048,0.000064,0.008722,0.055642,0.990208,215.704910,217.602840,0.500000,0.079500,-0.524403,11.422688,11.528292,-1.779613,46.008753,80.441374,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,15,1,-202113,-203511,-200715,4530567296615,139571851221531052,0.000032,170,170,1.000000,45949.782564,22.974891,0.000741,0.095702,0.096102,0.007744,0.007712,0.000032,0.000033,0.004165,0.002318,0.319680,41.279113,41.451780,0.009259,0.079500,-0.088018,0.006942,0.007343,-1.839912,18.671561,25.969801,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,15,6,-202104,-203502,-200706,4528529101867,138597138628001363,0.000033,981,981,1.000000,288545.157142,144.272579,0.004811,0.600966,0.603480,0.008005,0.007972,0.000033,0.000036,0.004165,0.013910,0.345830,43.202555,43.383268,0.055556,0.079500,-0.130245,0.465910,0.468424,-1.826817,19.634773,28.094171,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,25,15,24,-202193,-203591,-200795,4548724949030,137739741667214106,0.000033,6819,6819,1.000000,2752167.376228,1376.083688,0.038014,5.732062,5.756039,0.006632,0.006604,0.000033,0.000044,0.004165,0.055642,0.683198,103.017378,103.448291,0.222222,0.079500,-0.263708,5.430340,5.454317,-1.657871,49.588560,55.500892,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,5,1,-202113,-202601,-201625,25378611406232,139571851221531052,0.000182,170,170,1.000000,45949.782564,22.974891,0.004151,1.414735,1.507567,0.002934,0.002753,0.000182,0.000183,0.061577,0.004637,0.895233,305.109578,325.130263,0.166667,0.079500,-0.242016,1.168568,1.261400,-1.950188,14.976816,72.725954,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,5,6,-202104,-202592,-201616,25367194171022,138597138628001363,0.000183,981,981,1.000000,288545.157142,144.272579,0.026943,8.883934,9.466880,0.003033,0.002846,0.000183,0.000199,0.061577,0.027821,0.968460,319.326470,340.280039,1.000000,0.079500,-1.052557,7.804434,8.387380,-1.946113,15.767868,78.674640,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,5,24,-202193,-202681,-201705,25480324055999,137739741667214106,0.000185,6819,6819,1.000000,2752167.376228,1376.083688,0.212912,84.735692,90.295880,0.002513,0.002358,0.000185,0.000247,0.061577,0.111283,1.913241,761.440516,811.404731,4.000000,0.079500,-3.866588,80.656192,86.216380,-1.893544,40.367846,155.425721,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,10,1,-202113,-203067,-201159,13133128252167,139571851221531052,0.000094,170,170,1.000000,45949.782564,22.974891,0.002148,0.397308,0.404300,0.005407,0.005314,0.000094,0.000095,0.017293,0.004637,0.463313,85.685710,87.193562,0.041667,0.079500,-0.119018,0.276142,0.283133,-1.896882,17.070795,37.638094,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,10,6,-202104,-203058,-201150,13127219969326,138597138628001363,0.000095,981,981,1.000000,288545.157142,144.272579,0.013944,2.494927,2.538832,0.005589,0.005492,0.000095,0.000103,0.017293,0.027821,0.501211,89.678324,91.256435,0.250000,0.079500,-0.315556,2.165427,2.209332,-1.888447,17.959418,40.716861,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,10,24,-202193,-203147,-201239,13185763333451,137739741667214106,0.000096,6819,6819,1.000000,2752167.376228,1376.083688,0.110189,23.796821,24.215585,0.004630,0.004550,0.000096,0.000128,0.017293,0.111283,0.990163,213.839801,217.602840,1.000000,0.079500,-0.969311,22.717321,23.136085,-1.779623,45.593642,80.437736,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,15,1,-202113,-203511,-200715,9061134593230,139571851221531052,0.000065,170,170,1.000000,45949.782564,22.974891,0.001482,0.190609,0.192204,0.007776,0.007712,0.000065,0.000065,0.008296,0.004637,0.319670,41.107878,41.451780,0.018519,0.079500,-0.096536,0.092591,0.094185,-1.839917,18.585811,25.968963,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,15,6,-202104,-203502,-200706,9057058203735,138597138628001363,0.000065,981,981,1.000000,288545.157142,144.272579,0.009621,1.196946,1.206959,0.008038,0.007971,0.000065,0.000071,0.008296,0.027821,0.345819,43.023342,43.383268,0.111111,0.079500,-0.180990,1.006335,1.016348,-1.826823,19.545027,28.093233,false,false,false,NO_GO
0xb775272e537cc670c65dc852908ad47015244eaf,PancakeSwap V3 WETH/USDC 0.05%,50,15,24,-202193,-203591,-200795,9097449898060,137739741667214106,0.000066,6819,6819,1.000000,2752167.376228,1376.083688,0.076026,11.416569,11.512078,0.006659,0.006604,0.000066,0.000088,0.008296,0.111283,0.683177,102.590040,103.448291,0.444444,0.079500,-0.447918,10.892624,10.988133,-1.657882,49.374560,55.499161,false,false,false,NO_GO
